commit,url,file_list
ed66acd39267d591945df55a3e8a7feb7e7cac72,https://gerrit.ericsson.se/#/c/12071930/,"bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_bbrhfastinput.h
bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_cellpps.h
bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_tps.h
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_dl_ailg.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_dl_utils.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_handlenrdistciresourceind.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_ul_tbs.c
bbdra/draCtrlNrMdbfCe/body/bbrhFastCtrl/dractrlnrmdbfce_bbrhfastctrl_ul_utils.c
bbdra/draCtrlNrMdbfCe/body/distributor/dractrlnrmdbfce_distributor.c
bbdra/draCtrlNrMdbfCe/body/xbmSerial/dractrlnrmdbfce_xbmserialtor_handlenrdractrltimercislottimer.c
bbdra/draCtrlNrMdbfCe/debug/lib/dractrl_cell.py
bbdra/draDlNrMdbfCe/api-private/common/dradlnrmdbfce_common_xbmtps.h
bbdra/draDlNrMdbfCe/body/common/dradlnrmdbfce_common_xbmtps.c
bbdra/draDlNrMdbfCe/body/xbmSerial/dradlnrmdbfce_xbmserialactor_handleslottimer.c
bbdra/draNrCommon/api/common/dranrcommon_cellbm.h"
97e63133950cddd669f57403f0d03cc25d53070c,https://gerrit.ericsson.se/#/c/12251103/,"bbdra/draDlNrMdbfCe/api-private/common/dradlnrmdbfce_common_pdschalloctor_data.h
bbdra/draDlNrMdbfCe/body/pdschAlloc/dradlnrmdbfce_pdschalloctor_rbgschedmain.c
bbdra/draDlNrMdbfCe/body/pdschAlloc/dradlnrmdbfce_pdschalloctor_util.c"
067eb2fd1dcdbb4d7aa934915c2ccb341f11a469,https://gerrit.ericsson.se/#/c/12203032/,"bbdra/draCtrlNrMdbfCe/body/pdcchAlloc/dractrlnrmdbfce_pdcchalloctor_cceallocator.c
bbue/nr/upcUeUlNrCe/body/ue/upcueulnrce_ueactor_uereconfig.c"
0a7d860c60cdd48f9b5ef5260c962197df811145,https://gerrit.ericsson.se/#/c/12016773/,"bbue/nr/upcUeDlNrCe/api-private/xbmParallel/UPCUEDLNRCE_xbmParallelReactor.cbc
bbue/nr/upcUeDlNrCe/api-private/xbmParallel/upcuedlnrce_xbmparallel_mtd.h
bbue/nr/upcUeDlNrCe/body/xbmParallel/upcuedlnrce_xbmparallel_mtddebugallocatehp.c
bbue/nr/upcUeDlNrCe/body/xbmParallel/upcuedlnrce_xbmparallel_mtddebugfreehp.c"
042516994fc854631daa349b1ae6924b80c1b472,https://gerrit.ericsson.se/#/c/12190465/,"bbdra/draCtrlNrMdbfCe/api-private/bbrhSlowCtrl/dractrlnrmdbfce_bbrhslowctrlactor_ecr.h
bbdra/draCtrlNrMdbfCe/api-private/common/dractrlnrmdbfce_common_pm.h
bbdra/draCtrlNrMdbfCe/body/bbrhSlowCtrl/dractrlnrmdbfce_bbrhslowctrlactor_l2bits.c"
aa02c8de7e5527f1507287c39c37cb3a861a31f6,https://gerrit.ericsson.se/#/c/12178414/,"bbdra/draCtrlNrMdbfCe/api-private/pdcchAlloc/dractrlnrmdbfce_pdcchalloctor_cceallocator.h
bbdra/draCtrlNrMdbfCe/body/pdcchAlloc/dractrlnrmdbfce_pdcchalloctor_cceallocator.c
bbdra/draCtrlNrMdbfCe/body/xbmSerial/dractrlnrmdbfce_xbmserialtor_handlenrcellmiesscellsetupreq.c"
60710671f90f68145feb6cffac303ea5e5ad6d44,https://gerrit.ericsson.se/#/c/12188252/,"bbdra/draCtrlNrMdbfCe/body/extCa/dractrlnrmdbfce_extcaactor_handlenrextcaupcciueconfigreq.c
bbue/nr/upcUeDlNrCe/api-private/session/upcuedlnrce_session_utils.h
bbue/nr/upcUeDlNrCe/body/session/upcuedlnrce_session_handlenrextcaupcciueconfigcfm.c
bbue/nr/upcUeDlNrCe/body/session/upcuedlnrce_session_handleupcuedlnrceifscellsconfigreq.c
bbue/nr/upcUeDlNrCe/body/session/upcuedlnrce_session_utils.c
bbue/nr/upcUeDlNrCe/body/shadowSession/upcuedlnrce_shadowsession_util.c"
91d58d933dff12089405f8934319bcfa71db6a68,https://gerrit.ericsson.se/#/c/12232204/,"bbdra/draDlNrMdbfCe/api-private/common/dradlnrmdbfce_common_pmtps.h
bbdra/draDlNrMdbfCe/api-private/common/dradlnrmdbfce_common_xbmtps.h
bbdra/draDlNrMdbfCe/body/xbmParallel/dradlnrmdbfce_xbmparallelreactor_handlenrdradlcipm.c
bbdra/draDlNrMdbfCe/body/xbmSerial/dradlnrmdbfce_xbmserialactor_handlenrcellmicellsetupreq.c
bbdra/draDlNrMdbfCe/body/xbmSerial/dradlnrmdbfce_xbmserialactor_handleslottimer.c"
def458a5a77bea822fecbf0c9cf83cb3a6c4ef80,https://gerrit.ericsson.se/#/c/12259839/,bbdra/draDlNrMdbfCe/body/rrmLib/dradlnrmdbfce_rrmlib_allocaterbs.c
0b92dd39d7e4eb5d9d8c8597710e686dd7acdd38,https://gerrit.ericsson.se/#/c/12200648/,"bbue/nr/upcUeDlNrCe/api-private/common/upcuedlnrce_harqtxorderlist.h
bbue/nr/upcUeDlNrCe/body/common/upcuedlnrce_harqtxorderlist.c"
